"Step","Trifinger__sac__7__2024-05-15 21:39:17 - reward","Trifinger__sac__7__2024-05-15 21:39:17 - reward__MIN","Trifinger__sac__7__2024-05-15 21:39:17 - reward__MAX","trifinger__td3__7__2024-05-13 20:17:15 - reward","trifinger__td3__7__2024-05-13 20:17:15 - reward__MIN","trifinger__td3__7__2024-05-13 20:17:15 - reward__MAX","trifinger__ddpg__7__2024-05-13 20:13:12 - reward","trifinger__ddpg__7__2024-05-13 20:13:12 - reward__MIN","trifinger__ddpg__7__2024-05-13 20:13:12 - reward__MAX","Ant__ppo_tt__7__1713082913 - reward","Ant__ppo_tt__7__1713082913 - reward__MIN","Ant__ppo_tt__7__1713082913 - reward__MAX"
"1","1.5596580505371094","1.5596580505371094","1.5596580505371094","1.524289846420288","1.524289846420288","1.524289846420288","0.9717350602149963","0.9717350602149963","0.9717350602149963","2.3196287155151367","2.3196287155151367","2.3196287155151367"
"2","1.941246509552002","1.941246509552002","1.941246509552002","1.7944735288619995","1.7944735288619995","1.7944735288619995","1.1659822463989258","1.1659822463989258","1.1659822463989258","2.526923656463623","2.526923656463623","2.526923656463623"
"3","1.4829277992248535","1.4829277992248535","1.4829277992248535","0.901750922203064","0.901750922203064","0.901750922203064","0.9030657410621643","0.9030657410621643","0.9030657410621643","2.0373010635375977","2.0373010635375977","2.0373010635375977"
"4","1.4253911972045898","1.4253911972045898","1.4253911972045898","0.7523121237754822","0.7523121237754822","0.7523121237754822","0.8304429054260254","0.8304429054260254","0.8304429054260254","2.074521064758301","2.074521064758301","2.074521064758301"
"5","1.7306233644485474","1.7306233644485474","1.7306233644485474","0.8132568001747131","0.8132568001747131","0.8132568001747131","0.5488971471786499","0.5488971471786499","0.5488971471786499","1.9286134243011475","1.9286134243011475","1.9286134243011475"
"6","1.8444716930389404","1.8444716930389404","1.8444716930389404","0.5692489147186279","0.5692489147186279","0.5692489147186279","0.5723506212234497","0.5723506212234497","0.5723506212234497","2.3793513774871826","2.3793513774871826","2.3793513774871826"
"7","1.367497205734253","1.367497205734253","1.367497205734253","0.38226401805877686","0.38226401805877686","0.38226401805877686","0.2699213922023773","0.2699213922023773","0.2699213922023773","1.9634857177734375","1.9634857177734375","1.9634857177734375"
"8","2.0353028774261475","2.0353028774261475","2.0353028774261475","0.23301580548286438","0.23301580548286438","0.23301580548286438","0.33134663105010986","0.33134663105010986","0.33134663105010986","2.9415283203125","2.9415283203125","2.9415283203125"
"9","2.5508761405944824","2.5508761405944824","2.5508761405944824","0.14173974096775055","0.14173974096775055","0.14173974096775055","0.2967189848423004","0.2967189848423004","0.2967189848423004","2.2934410572052","2.2934410572052","2.2934410572052"
"10","3.0272793769836426","3.0272793769836426","3.0272793769836426","0.01231528352946043","0.01231528352946043","0.01231528352946043","0.033581651747226715","0.033581651747226715","0.033581651747226715","2.9651589393615723","2.9651589393615723","2.9651589393615723"
