Wall time,Step,Value
1669388786.682263,0,0.6372621059417725
1669388830.221413,1,0.8545291423797607
1669388875.823333,2,0.9040676355361938
1669388920.46974,3,0.9305317401885986
1669388967.738239,4,0.9521767497062683
1669389011.229464,5,0.9649595618247986
1669389053.899933,6,0.9748427867889404
1669389098.162969,7,0.9812137484550476
1669389141.80524,8,0.9847667813301086
1669389186.43776,9,0.988483190536499
1669389229.885696,10,0.9920362830162048
1669389273.061811,11,0.9927305579185486
1669389316.409765,12,0.99444580078125
1669389361.02078,13,0.9955893158912659
1669389404.086199,14,0.9966511726379395
1669389447.366539,15,0.9969370365142822
1669389490.29254,16,0.9971004128456116
1669389533.33289,17,0.9979171752929688
1669389576.929211,18,0.998039722442627
1669389620.711536,19,0.9982847571372986
1669389663.797311,20,0.9988973140716553
1669389704.949331,21,0.9985297918319702
1669389748.216172,22,0.998815655708313
1669389792.277001,23,0.9990198612213135
1669389834.962694,24,0.9988564848899841
1669389875.45469,25,0.999183177947998
1669389917.301957,26,0.9993465542793274
1669389961.556194,27,0.9994282722473145
1669390006.627089,28,0.9990198612213135
1669390050.010548,29,0.999224066734314
1669390093.360151,30,0.9990606904029846
1669390136.809056,31,0.9994691014289856
1669390178.639972,32,0.9995507597923279
1669390210.338229,33,0.9993873834609985
1669390237.98244,34,0.9993465542793274
1669390265.976515,35,0.999591588973999
1669390293.722199,36,0.9995507597923279
1669390323.095397,37,0.9996324181556702
1669390350.653648,38,0.999183177947998
1669390379.191811,39,0.9993873834609985
1669390407.665426,40,0.9997141361236572
1669390436.290587,41,0.9994691014289856
1669390463.860152,42,0.9997141361236572
1669390493.153811,43,0.9996733069419861
1669390522.399912,44,0.9996324181556702
1669390551.335755,45,0.9996733069419861
1669390580.230278,46,0.9996733069419861
1669390609.354084,47,0.9997141361236572
1669390638.080179,48,0.9996733069419861
1669390667.341135,49,0.999591588973999
